gen,nd_rank,GDP,GHG,theta_filename,A_filename
2,0,51.325,927.428,gen0002_theta_nd_0000.npy,gen0002_A_nd_0000.npy
2,1,52.9719,928.045,gen0002_theta_nd_0001.npy,gen0002_A_nd_0001.npy
2,2,47.3546,924.003,gen0002_theta_nd_0002.npy,gen0002_A_nd_0002.npy
2,3,50.9241,926.828,gen0002_theta_nd_0003.npy,gen0002_A_nd_0003.npy
2,4,51.6644,927.762,gen0002_theta_nd_0004.npy,gen0002_A_nd_0004.npy
2,5,53.2527,928.409,gen0002_theta_nd_0005.npy,gen0002_A_nd_0005.npy
3,0,52.9719,928.045,gen0003_theta_nd_0000.npy,gen0003_A_nd_0000.npy
3,1,47.3546,924.003,gen0003_theta_nd_0001.npy,gen0003_A_nd_0001.npy
3,2,53.2527,928.409,gen0003_theta_nd_0002.npy,gen0003_A_nd_0002.npy
3,3,52.4238,927.629,gen0003_theta_nd_0003.npy,gen0003_A_nd_0003.npy
3,4,51.191,926.587,gen0003_theta_nd_0004.npy,gen0003_A_nd_0004.npy
3,5,51.9992,927.264,gen0003_theta_nd_0005.npy,gen0003_A_nd_0005.npy
4,0,47.3546,924.003,gen0004_theta_nd_0000.npy,gen0004_A_nd_0000.npy
4,1,51.191,926.587,gen0004_theta_nd_0001.npy,gen0004_A_nd_0001.npy
4,2,51.9992,927.264,gen0004_theta_nd_0002.npy,gen0004_A_nd_0002.npy
4,3,46.5572,919.61,gen0004_theta_nd_0003.npy,gen0004_A_nd_0003.npy
4,4,49.2518,924.636,gen0004_theta_nd_0004.npy,gen0004_A_nd_0004.npy
4,5,49.6861,926.133,gen0004_theta_nd_0005.npy,gen0004_A_nd_0005.npy
4,6,54.1178,927.385,gen0004_theta_nd_0006.npy,gen0004_A_nd_0006.npy
5,0,46.5572,919.61,gen0005_theta_nd_0000.npy,gen0005_A_nd_0000.npy
5,1,54.015,925.226,gen0005_theta_nd_0001.npy,gen0005_A_nd_0001.npy
5,2,49.2634,923.107,gen0005_theta_nd_0002.npy,gen0005_A_nd_0002.npy
5,3,54.1949,927.075,gen0005_theta_nd_0003.npy,gen0005_A_nd_0003.npy
6,0,46.5572,919.61,gen0006_theta_nd_0000.npy,gen0006_A_nd_0000.npy
6,1,54.015,925.226,gen0006_theta_nd_0001.npy,gen0006_A_nd_0001.npy
6,2,49.2634,923.107,gen0006_theta_nd_0002.npy,gen0006_A_nd_0002.npy
6,3,54.6973,927.589,gen0006_theta_nd_0003.npy,gen0006_A_nd_0003.npy
6,4,52.2064,924.215,gen0006_theta_nd_0004.npy,gen0006_A_nd_0004.npy
6,5,54.5677,927.012,gen0006_theta_nd_0005.npy,gen0006_A_nd_0005.npy
6,6,49.7843,923.461,gen0006_theta_nd_0006.npy,gen0006_A_nd_0006.npy
6,7,47.0445,920.396,gen0006_theta_nd_0007.npy,gen0006_A_nd_0007.npy
6,8,51.1907,923.697,gen0006_theta_nd_0008.npy,gen0006_A_nd_0008.npy
7,0,54.015,925.226,gen0007_theta_nd_0000.npy,gen0007_A_nd_0000.npy
7,1,49.2634,923.107,gen0007_theta_nd_0001.npy,gen0007_A_nd_0001.npy
7,2,52.2064,924.215,gen0007_theta_nd_0002.npy,gen0007_A_nd_0002.npy
7,3,51.1907,923.697,gen0007_theta_nd_0003.npy,gen0007_A_nd_0003.npy
7,4,49.1468,922.04,gen0007_theta_nd_0004.npy,gen0007_A_nd_0004.npy
7,5,49.0428,919.02,gen0007_theta_nd_0005.npy,gen0007_A_nd_0005.npy
7,6,51.7987,924.026,gen0007_theta_nd_0006.npy,gen0007_A_nd_0006.npy
7,7,50.1245,923.217,gen0007_theta_nd_0007.npy,gen0007_A_nd_0007.npy
7,8,55.5813,926.597,gen0007_theta_nd_0008.npy,gen0007_A_nd_0008.npy
7,9,54.1165,926.451,gen0007_theta_nd_0009.npy,gen0007_A_nd_0009.npy
7,10,53.0895,924.439,gen0007_theta_nd_0010.npy,gen0007_A_nd_0010.npy
8,0,54.015,925.226,gen0008_theta_nd_0000.npy,gen0008_A_nd_0000.npy
8,1,49.0428,919.02,gen0008_theta_nd_0001.npy,gen0008_A_nd_0001.npy
8,2,53.0895,924.439,gen0008_theta_nd_0002.npy,gen0008_A_nd_0002.npy
8,3,54.1684,925.537,gen0008_theta_nd_0003.npy,gen0008_A_nd_0003.npy
8,4,51.3017,920.029,gen0008_theta_nd_0004.npy,gen0008_A_nd_0004.npy
8,5,54.3655,925.694,gen0008_theta_nd_0005.npy,gen0008_A_nd_0005.npy
8,6,52.9975,923.213,gen0008_theta_nd_0006.npy,gen0008_A_nd_0006.npy
8,7,55.8691,925.858,gen0008_theta_nd_0007.npy,gen0008_A_nd_0007.npy
9,0,49.0428,919.02,gen0009_theta_nd_0000.npy,gen0009_A_nd_0000.npy
9,1,51.3017,920.029,gen0009_theta_nd_0001.npy,gen0009_A_nd_0001.npy
9,2,52.9975,923.213,gen0009_theta_nd_0002.npy,gen0009_A_nd_0002.npy
9,3,55.8691,925.858,gen0009_theta_nd_0003.npy,gen0009_A_nd_0003.npy
9,4,45.0463,917.342,gen0009_theta_nd_0004.npy,gen0009_A_nd_0004.npy
9,5,53.2153,924.07,gen0009_theta_nd_0005.npy,gen0009_A_nd_0005.npy
9,6,53.1448,923.684,gen0009_theta_nd_0006.npy,gen0009_A_nd_0006.npy
9,7,54.7084,924.965,gen0009_theta_nd_0007.npy,gen0009_A_nd_0007.npy
9,8,51.6747,922.031,gen0009_theta_nd_0008.npy,gen0009_A_nd_0008.npy
9,9,51.8253,922.897,gen0009_theta_nd_0009.npy,gen0009_A_nd_0009.npy
9,10,54.0915,924.521,gen0009_theta_nd_0010.npy,gen0009_A_nd_0010.npy
9,11,50.2862,919.289,gen0009_theta_nd_0011.npy,gen0009_A_nd_0011.npy
10,0,51.3017,920.029,gen0010_theta_nd_0000.npy,gen0010_A_nd_0000.npy
10,1,55.8691,925.858,gen0010_theta_nd_0001.npy,gen0010_A_nd_0001.npy
10,2,45.0463,917.342,gen0010_theta_nd_0002.npy,gen0010_A_nd_0002.npy
